Institution,out turn
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",706
G.D. GOENKA UNIVERSITY (Id: U-0720),463
GEETANJALI UNIVERSITY (Id: U-0746),517
G.H. RAISONI UNIVERSITY (Id: U-0977),79
"G.L.A University, Mathura (Id: U-0513)",3221
GLOCAL UNIVERSITY (Id: U-0645),404
GLS UNIVERSITY (Id: U-0775),0
GNA UNIVERSITY (Id: U-0789),717
"Goa University, Goa (Id: U-0121)",832
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",158
GOKUL GLOBAL UNIVERSITY (Id: U-0962),0
"GONDWANA UNIVERSITY, GADCHIROLI (Id: U-0658)",69
GOPAL NARAYAN SINGH UNIVERSITY (Id: U-1066),29
"Govind Guru Tribal University, Banswara (Id: U-0896)",58
GRAPHIC ERA HILL UNIVERSITY (Id: U-0638),1676
"Graphic Era University, Dehradun (Id: U-0555)",1542
G S F C UNIVERSITY (Id: U-0759),217
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",717
Gujarat Forensic Sciences University (Id: U-0593),291
GUJARAT MARITIME UNIVERSITY (Id: U-1036),0
"Gujarat National Law University, Gandhinagar (Id: U-0134)",216
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",49
"Gujarat University, Ahmedabad (Id: U-0136)",1133
GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES (Id: U-0817),18
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",910
"Gulbarga University, Gulbarga (Id: U-0219)",1031
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",342
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",2235
Guru Gobind Singh Indraprastha University (Id: U-0099),1150
"GURUGRAM UNIVERSITY, GURUGRAM (Id: U-1021)",0
"Guru  Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",3338
GURU KASHI UNIVERSITY (Id: U-0653),1073
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",1565
"Guru Nanak Dev University, Amritsar (Id: U-0376)",3672
Haridev Joshi University of Journalism & Mass Communication (Id: U-1059),0
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",964
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",31292
HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY (Id: U-0819),0
"Hidayatullah National Law University, Raipur (Id: U-0086)",164
HIMACHAL PRADESH NATIONAL LAW UNIVERSITY SHIMLA (Id: U-1035),17
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",0
"Himachal Pradesh University , Shimla (Id: U-0183)",17796
"HIMALAYAN UNIVERSITY, ITANAGAR (Id: U-0719)",999
"Himgiri Zee University, Dehradun (Id: U-0559)",245
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",1408
"Homoeopathy University, Jaipur (Id: U-0607)",103
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",1590
ICFAI UNIVERSITY (Id: U-0635),29
IEC (INDIA EDUCATION CENTRE) UNIVERSITY (Id: U-0696),143
IES UNIVERSITY (Id: U-1064),0
"IFTM University, Moradabad (Id: U-0515)",3037
IIHMR UNIVERSITY (Id: U-0851),230
IILM UNIVERSITY (Id: U-0988),0
IIMT University (Id: U-0889),334
"I.I.S. University, Jaipur (Id: U-0394)",1727
"I K Gujral Punjab Technical University, Jalandhar (Id: U-0382)",100
IMS UNISON UNIVERSITY (Id: U-0773),604
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),242
INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE (Id: U-1049),0
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR (Id: U-0584)",893
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",262
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",490
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR (Id: U-0953),0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, CHITTOOR (Id: U-0760)",104
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",302
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD (Id: U-0803)",25
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI (Id: U-0795)",61
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI (Id: U-0796)",68
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA (Id: U-0799)",60
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM (Id: U-0802)",30
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW (Id: U-0801)",44
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR (Id: U-0841)",0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE (Id: U-0804)",0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI (Id: U-0840)",0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI (Id: U-0770)",19
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT (Id: U-0800)",60
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM (Id: U-0754)",69
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT (Id: U-0954),0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA (Id: U-0797)",42
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA (Id: U-0798)",101
INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD (Id: U-1016),486
INDIAN INSTITUTE OF MANAGEMENT AMRITSAR (Id: U-1001),95
INDIAN INSTITUTE OF MANAGEMENT BANGALORE (Id: U-1014),422
INDIAN INSTITUTE OF MANAGEMENT BODH GAYA (Id: U-1006),39
INDIAN INSTITUTE OF MANAGEMENT INDORE (Id: U-1012),1045
"INDIAN INSTITUTE OF MANAGEMENT, JAMMU AND KASHMIR (Id: U-1004)",62
INDIAN INSTITUTE OF MANAGEMENT KASHIPUR (Id: U-1009),108
"INDIAN INSTITUTE OF MANAGEMENT, KOLKATA (Id: U-1019)",1163
INDIAN INSTITUTE OF MANAGEMENT KOZHIKODE (Id: U-1013),786
INDIAN INSTITUTE OF MANAGEMENT LUCKNOW (Id: U-1008),682
"INDIAN INSTITUTE OF MANAGEMENT, NAGPUR (Id: U-1018)",55
INDIAN INSTITUTE OF MANAGEMENT RAIPUR (Id: U-1017),241
INDIAN INSTITUTE OF MANAGEMENT RANCHI (Id: U-1003),268
INDIAN INSTITUTE OF MANAGEMENT ROHTAK (Id: U-1015),346
INDIAN INSTITUTE OF MANAGEMENT SAMBALPUR (Id: U-1002),60
"INDIAN INSTITUTE OF MANAGEMENT, SHILLONG (Id: U-1011)",198
INDIAN INSTITUTE OF MANAGEMENT SIRMAUR (Id: U-1005),48
INDIAN INSTITUTE OF MANAGEMENT TIRUCHIRAPALLI (Id: U-1000),169
INDIAN INSTITUTE OF MANAGEMENT UDAIPUR (Id: U-1010),239
INDIAN INSTITUTE OF MANAGEMENT VISAKHAPATNAM (Id: U-1007),61
INDIAN INSTITUTE OF PETROLEUM & ENERGY (Id: U-0944),0
INDIAN INSTITUTE OF PUBLIC HEALTH GANDHINAGAR (Id: U-0963),108
"Indian Institute of Science, Bangalore (Id: U-0220)",697
"Indian Institute of Science Education & Research (IISER), Berhampur (Id: U-0828)",0
