Institution,out turn
"KPPM COLLEGE OF TEACHER EDUCATION, ANAKKAYAM (Id: C-7998)",50
KPR College of Arts Science and Research (Id: C-62373),0
KPR Institute of Engineering and Technology (Id: C-36999),576
"KPRM College of Nursing, Ongole (Id: C-30497)",16
"K.P.S. DEGREE COLLEGE, KAKARUA (Id: C-49969)",243
"K.P.S GIRLS COLLEGE OF EDUCATION, ALIPUR KALAN (Id: C-52866)",145
"K.P.S. Sna College, H.Ganj (Id: C-12896)",476
K P S V Shri Virupaksha Ayurvedic Medical College (Id: C-40259),36
K.P.Training College (Id: C-36478),42
"K.P. UCHHA SIKSHA SANSTHAN, JHALWA (Id: C-48876)",767
K R Academy (Id: C-59173),84
K.Ramakrishnan College of Engineering (Id: C-24983),599
K.Ramakrishnan College of Technology(New) (Id: C-25054),484
Kranthi (Alpha) Degree College (Id: C-25658),81
KRANTHI DEGREE COLLEGE (Id: C-52523),25
"Krantiagrani G.D.Bapu Lad  Arts College,  KUNDAL (Id: C-11069)",75
"Kranti Mahila Mahavidyalaya, Nijambad (Id: C-52435)",163
"Krantisinh Nana Patil College of Veterinary Science, Shirwal (Id: C-44024)",55
"Krantiveer Vasantrao Narayanrao Naik Education Societys Arts, Commerce  & Science College, Canada Corner, Sharanpur Road, Nashik 422002 (Id: C-41248)",196
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sansthas Arts & Commerce College, Dindori, Dist.Nashik (Id: C-41216)",83
KRANTIVEER VASANTRAO NARAYANRAO NAIK SHIKSHAN PRASARAK SANSTHAS  INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH NASHIK (Id: C-62068),0
"KRAPAL SINGH DADI MAHAVIDYALAYA, NADIGAON, KONCH (Id: C-49949)",50
"Kratisinh Nana Patil Mahavidyalaya, WALAWE (Id: C-11065)",116
"K.R.Bellad Arts & Commerce College, Mundargi. (Id: C-35652)",137
K.R.B. Girl's College (Id: C-17198),47
"K.R.B.R. Hedgewar T.T. College, Bundi (Id: C-19480)",0
"KRCESS COLLEGE OF EDUCATION, BAILHONGAL (Id: C-10165)",92
"KRCES'S GGD ARTS, BMP COMMERCE SVS SCIENCE COLLEGE,  BAILHONGAL (Id: C-10160)",164
"K.R.C.E.S's S.B.Harkuni BBA College, Bailhongal (Id: C-10081)",19
"K.R.College of Arts & Science, K.R. Nagar, Kovilpatti - 628 503. (Id: C-41203)",285
K.R.  College of Education (Id: C-14881),61
K R College of Nursing (Id: C-40096),48
K. R. College of Pharmacy (Id: C-58364),0
K R College of Physical Education (Id: C-61172),52
K.R.D. College of Education (Id: C-17092),94
K. R. Desai Arts & Commerce College (Id: C-5876),506
"KR. DEVENDRA PAL SINGH MEMORIAL DEGREE COLLEGE NAGLA UDI,ETAH (Id: C-15371)",90
K R DOSHI B COM COLLEGE (Id: C-47828),41
K.R.DOSHI B.S.W.COLLEGE (Id: C-55683),9
K R DOSHI COLLEGE OF COMPUTER SCIENCE (Id: C-47835),0
"K R DOSHI COLLEGE OF COMPUTER SCIENCE (BCA), BHAVNAGAR (Id: C-49712)",0
K R EDUCATIONAL INSTITUTE  (Id: C-56330),324
"Kreeda Maharshi Meghanath Nageshkar Sharirik Shikshanshastra Mahavidyalaya, TARDAL (Id: C-11133)",45
K. R. GIRLS COLLEGE (Id: C-60527),0
K.R GIRLS COLLEGE MATHURA (Id: C-15349),0
K. R. INSTITUTE OF HEALTH SCIENCES (Id: C-58397),0
KRIPA INSTITUTE OF NURSING SCIENCES (Id: C-63345),198
"KRIPALU MAHILA MAHAVIDYALAYA, KUNDA, HARNAMGANJ, PRATAPGARH (Id: C-42645)",211
"Krishak College,Pakri Barwan (Id: C-12885)",1024
"Krishak Mahavidyalaya, Koiriyapar ,Mau (Id: C-16010)",385
Krishak Mahavidyalaya Ukaraon Bahriyabad Ghazipur (Id: C-16033),64
"Krishak Mahavidyalay, Rajgarh, Mirzapur (Id: C-13540)",541
Krishak (P.G.) College Mawana (Meerut) Mob.No.9897074721 (Id: C-29032),257
KRISHANA INFORMATION TECHNOLOGY (Id: C-53894),74
KRISHANA MAHAVIDYALAYA (Id: C-53758),184
"Krishanasamy college of Science,Arts &Management for women,Nellikuppam High oad,S.Kumarapuram- (Id: C-36371)",555
"KRISHANVALLABH SHRAVAN KUMAR MAHAVIDYALAYA,LAHARUA, CHHIRIYA (Id: C-22517)",90
"Krishma Education Centre, Vill. Ner Chowk, Distt Mandi (Id: C-11387)",0
"KRISHNA ACADEMY BICHPURI ROAD, BICHPURI, AGRA (Id: C-15497)",96
KRISHNA ADARSH COLLEGE OF EDUCATION (Id: C-28300),79
"KRISHNA ARTS AND SCIENCE COLLEGE, KATTINAYANAPALLI (Id: C-47501)",325
Krishna Ayurved Medical College (Id: C-62820),0
"Krishnabai Vasudeva Shenoy Memorial College, Katapadi, Udupi (Id: C-16964)",30
Krishna Bora B.Ed. College (Id: C-17252),89
"KRISHNA CHAITANYA DEGREE COLLEGE, KANIGIRI (Id: C-55538)",107
"Krishna Chaitanya Degree & P.G College, Nellore (Id: C-26456)",1381
"Krishna Chaitanya Degree & PG College, Nellore (Id: C-24726)",206
"Krishna Chaitanya Institute of Science & Technology, Kakatur (Id: C-26454)",388
"Krishna chaitanya Institute of Technology & Sciences, Jawayar nagar , MarkapurPIN-523316(CC-JU) (Id: C-17979)",177
Krishna Chandra College (Id: C-44739),166
"Krishna College, Barsana Road Nand Gaon (Id: C-52369)",0
KRISHNA COLLEGE OF AGRICULTURE AND TECHNOLOGY (KRISAT) (Id: C-58305),0
"KRISHNA COLLEGE OF AGRICULTURE, RETHARE BUDRUK (Id: C-50755)",117
"Krishna College of Commerce & Science, Wather (Id: C-11250)",47
Krishna  College of Education (Id: C-14859),89
KRISHNA COLLEGE OF EDUCATION (Id: C-55097),86
KRISHNA COLLEGE OF EDUCATION (Id: C-28288),99
"KRISHNA COLLEGE OF EDUCATION, BIJNOR (Id: C-51440)",128
Krishna College of Education for Women (Id: C-14757),118
KRISHNA COLLEGE OF HIGHER EDUCATION (Id: C-62429),0
KRISHNA COLLEGE OF HIGHER EDUCATION VILL RALLI BUDHLADA (Id: C-49543),504
Krishna College of Law (Id: C-13315),199
"KRISHNA COLLEGE OF PHYSICAL EDUCATION, MAVLI, DABOK ROAD (Id: C-39905)",50
Krishna College of Science & Information Technology (Id: C-13313),784
KRISHNA COLLEGE OF SCIENCE & TECH. BAMRAULI KATARA AGRA (Id: C-15301),143
"KRISHNA COLLEGE OF SPORTS & EDUCATION, BAMRAULI KATARA, AGRA (Id: C-15370)",50
KRISHNA COMPUTER INSTITUTE INDORE (Id: C-31310),72
Krishna Degree College (Id: C-23897),0
KRISHNA DEGREE COLLEGE (Id: C-60560),0
Krishnadevarayan College of Dental Sciences (Id: C-40205),84
"KRISHNA DEVI BALIKA DEGREE COLLEGE, AWASH VIKASH (Id: C-50084)",377
"KRISHNA DEVI BALIKA DEGREE COLLEGE, KHADIYA (Id: C-50090)",396
"KRISHNA DEVI MAHESWARI PHARMACY COLLEGE, JHUNJHUNU (Id: C-47146)",33
"Krishna Educational Foundation Leelawati College of Commerce and Computer Studies, Warje, Pune 58 (Id: C-41556)",53
Krishna Engineering College (Id: C-55618),0
"KRISHNA ENGINERING COLLEGE, GHAZIABAD (Id: C-46126)",628
"Krishna Foundation Sanchalit Jayawant Institute of Management, Vathar (Id: C-11175)",63
"Krishna Foundation Sanchalit Krishna Institute of Computer Application and Management, Vathar (Id: C-11181)",11
Krishnagar B.Ed. College (Id: C-7076),96
Krishnagar Govt. College (Id: C-7093),630
Krishnagar Womens College (Id: C-44047),256
"Krishna Gopal Mahavidyalaya, Nagina (Id: C-13434)",114
KRISHNA INFOTECH BHOPAL (Id: C-31443),33
"KRISHNA INSTITUTE OF EDUCATION 11 KM. MILESTONE, BANA, MAWANA ROAD, N.H.119 MEERUT (Id: C-28765)",88
"Krishna Institute of Education for Womens, Tenduli, Paligarh, Mau (Id: C-60854)",62
Krishna Institute of Education Girls (Id: C-62823),65
"Krishna Institute of Engineering and Technology,jamnagar (Id: C-52663)",74
"KRISHNA INSTITUTE OF MANAGEMENT, BANA, MAWANA ROAD, MEERUT (Id: C-46218)",14
"Krishna Institute of Medical Sciences College of Physiotherapy, Secunderabad (Id: C-30392)",43
"Krishna Institute of Medical Sciences (KIMS) College of B.Sc MLT, Hyderabad (Id: C-30406)",21
Krishna Institute of Pharmacy (Id: C-60681),0
KRISHNA INSTITUTE OF PHARMACY AND SCIENCES (Id: C-62836),0
"KRISHNA INSTITUTE OF TECHNOLOGY, KANPUR (Id: C-46834)",109
krishna institute o LAW (Id: C-53162),135
"Krishnai Shikshan Prasarak Mandal's Janvikas Arts College, Bansarola, Kaij. (Id: C-34644)",181
KRISHNA LAW COLLEGE (Id: C-55794),56
KRISHNA LAW COLLEGE  (Id: C-59542),0
"KRISHNA MAHAVIDHYALAYA, MOHAMMADI (Id: C-50160)",157
KRISHNA MAHAVIDHYALAYA SUJANPUR KHAIR ALIGARH (Id: C-58945),110
"KRISHNA MAHAVIDYALAYA, LALPUR, AAJADPUR, BANDA ( SHAHJAHANPUR ) (Id: C-49787)",351
"Krishna Mahavidyalaya, RETHARE BK (Id: C-11209)",610
"Krishna Mahavidyalaya, Taajpur , (Usmanpur) Pipridih , Mau (Id: C-15879)",0
"KRISHNA MAHAVIDYALAYA, THAKURDWARA ( MORADABAD ) (Id: C-49773)",626
"Krishna Mahila Mahavidyalaya, Sanchore (Id: C-13176)",48
KRISHNA MAHILA MAHAVIDYALAY BADWAR PANIYARA MAHARAJGANJ (Id: C-59096),88
"KRISHNA MAHILA TEACHERS TRAINING COLLEGE, SISARMA (Id: C-40026)",90
"Krishna Memorial Mahavidyalay, Ratanpur, Mau (Id: C-55610)",65
KRISHNA NARESH MAHAVIDHLIYA (Id: C-56527),0
Krishnanath College (Id: C-7121),724
"KRISHNA NURSING AND PARAMEDICAL INSTITUTE, RANA PRATAP MARG (Id: C-52617)",48
"KRISHNAPAL SINGH MAHAVIDYALAYA, TAMBAUR, (Id: C-12374)",720
"KRISHNAPAL SINGH SMARAK MAHAVIDYALAYA, KUNDANI, (Id: C-12601)",197
"Krishna Patel Mahavidyalaya, Rohuvar Vaidauli (Id: C-52361)",21
KRISHNA PHARMACY COLLEGE (Id: C-63810),0
krishna prasad pal memorial teachers training college (Id: C-59707),97
KRISHNA P. R. COLLEGE OF EDUCATION PAUSARA (Id: C-53248),47
KRISHNAPUR TEACHERS TAINING INSTITUTE (Id: C-50776),31
krishnarpit institute of education  (Id: C-59325),95
"KRISHNARPIT INSTITUTE OF MANAGEMENT & TECHNOLOGY,ALLAHABAD (Id: C-49264)",17
"KRISHNARPIT INSTITUTE OF PHARMACY, ALLAHABAD  (Id: C-46664)",51
"Krishna Sai College, Hospet - 583 201. (Id: C-8542)",42
KRISHNA SAI DEGREE COLLEGE (Id: C-24856),39
"Krishna Sai Degree College, Sompeta  (Id: C-55310)",42
Krishnasamy College of Education for Women (Id: C-6533),29
Krishnasree College of Education for Women (Id: C-14628),90
"Krishna Sudama Mahavidyalaya, Maradapur, Daulat, Nagar Ghazipur (Id: C-15938)",389
"Krishna Sudama Sansthan, Sadat, Ghazipur (Id: C-53068)",96
Krishnaswamy College of Engineering (Id: C-25020),133
"Krishna Teja Degree College, Tirupati (Id: C-27670)",116
"Krishna Teja Pharmacy College, Tirupati (Id: C-26876)",87
"KRISHNA UNIVERSITY Dr. MRAR  PG CENTRE, NUZVID (Id: C-25407)",168
Krishnaveni Ammal College of  Education (Id: C-14819),35
"Krishnaveni Arts & Science Degree College, H.No. 1-17, Ambedkar Centre, Manuguru (Id: C-27537)",15
"Krishnaveni College of Nursing, Guntur (Id: C-30483)",40
Krishnaveni Degree College (Id: C-32694),532
"Krishnaveni Degree College, Laxmidevipally, Kothagudem (Id: C-27251)",86
"Krishnaveni Degree College, Vidyanagar, Adilabad (Manjeera) (Id: C-27210)",103
"Krishnaveni Degree College, Vinukonda (Id: C-42745)",41
"Krishnaveni Engineering College for Women, Kesanupalli(Post), Narasaraopet,  PIN - 522 601(CC-KC) (Id: C-17887)",88
KRISHNA VIDYAPEETH OF MANAGEMENT AND TECHNOLOGY (Id: C-51626),84
"KRISHNAWATI RAM NARESH DEGREE COLLEGE, TIWARI NAGAR, PURE MURLI, MAKDOOMPUR, FAIZABAD (Id: C-42538)",618
"Kristhu Jyothi Degree College, Reddygudem, Thallada, Khammam (Id: C-27278)",91
"Kristu Jayanti College, K. Narayanapura, Kothanur P.O. Bengaluru 560077  (Id: C-20653)",1550
Kristu Jayanti College of Law (Id: C-58542),0
"Kristu Jyoti College of Management and Technology, Kurisummoodu P.O. Chethipuzha, Changanacherry 686 104 (Id: C-11695)",386
KRITIKA PHARMACY COLLEGE (Id: C-62760),0
KRITITI B.ED COLLEGE (Id: C-56121),55
K R K Govt. Degree College (Id: C-32818),66
K R K REDDY COLLEGE OF EDUCATION (Id: C-59354),49
"K.R. LAXMI BALIKA MAHAVIDYALAYA, KAKARDAHI, BAGHPUR, (Id: C-12272)",32
"K.R.M.COLLEGE,  JAMAL (Id: C-51939)",242
KRM DAV College Nakodar (Id: C-27858),81
"K.R.M. Mahila Arts & Comm Mahavidyalaya, Vazirabad, Nanded (Id: C-7346)",53
Kros College (Id: C-16735),57
K. R. PANDAV MAHAVIDYALAYA (Id: C-51692),22
K R P College of Arts and Science (Id: C-62583),76
KRP College of Education (Id: C-14464),142
"K.R (PG) COLLEGE ,MATHURA (Id: C-15232)",929
"KR. R.C.M COLLGE,MAINPURI (Id: C-15569)",1155
"KRR GOVERNMENT ARTS & SCIENCE COLLEGE, KODAD (Id: C-33160)",95
KRS COLLEGE OF HIGHER EDUCATION (Id: C-52904),122
"K R S INSTITUTE OF LAW, INDIRAPIR, GONDA (Id: C-52981)",30
KRs SREENARAYANA COLLEGE (Id: C-54203),74
"K.R.T. Arts, B.H. Commerce & A.M. Science College (K.T.H.M.), Nashik 422002. (Id: C-41276)",2031
"K.R.Technical College, Ambikapur (Id: C-9740)",121
"Krupajal Computer Academy (KCA), Bhubaneswar (Formerly : OCA, KEC, BBSR) (Id: C-30176)",0
"Krupajal Engineering College (KEC), Bhubaneswar (Id: C-30052)",265
"Krupajal Management Studies (KMS), Bhubaneswar (Formerly : AMS, Bhubaneswar) (Id: C-30159)",7
KRUPANIDHI COLLEGE OF COMMERCE  AND MANAGAMENT  (Id: C-56181),110
Krupanidhi College of Nursing (Id: C-40339),12
Krupanidhi College of Pharmacy (Id: C-40235),97
Krupanidhi College of Physiotherapy (Id: C-44841),44
"Krupanidhi Degree College, No.12, Chikkabellandur, Carmelara Post, Varthoor Hobli, Bangalore-560035 (Id: C-20954)",181
KRUPANIDHI GROUP OF INSTITUTIONS (Id: C-61200),95
"Krushiratan Sharadchandraji Pawar Arts, Commerce & Science College,Jawlabazar, Tq. Aundha Nagnath (Id: C-7272)",5
"Krushna Priya Devi Degree Women's College, Daspalla (Id: C-39600)",38
KRUTI INSTITUTE OF TEACHER EDUCAATION (Id: C-52311),135
"Kruti Institute of Technology and Engineering Knowledge Village, (Id: C-15627)",62
"Krutika Institute of Technical Education (KITE), Bhubaneswar (Id: C-30166)",61
KRUTI SCHOOL OF BUSINESS MENAGEMENT (Id: C-52141),46
Ksatriya College of Engineering (Id: C-19781),278
"K.S.B.D. MAHAVIDYALAYA, BHIKHNAPUR, (Id: C-12275)",438
"K S Bhaskar College, Jhunjhunun (Id: C-38389)",27
K. S. College (Id: C-8779),893
"K S COLLEGE, MORENA (Id: C-47867)",175
K.S. College of Education (Id: C-14662),100
K S COLLEGE OF HIGHER EDUCATION SHAMLI (Id: C-62824),70
K.S. College of Professional Education (Id: C-59540),98
"K.S. COLLEGE, SERAIKELLA (Id: C-43540)",931
KS Degree College (Id: C-62899),0
KS EDUCATION COLLEGE MUA. (Id: C-34678),290
K.S.E.F College of Education (Id: C-6981),28
"KSERT COLLEGE OF EDUCATION, BUDGAM (Id: C-45977)",37
K.S.E.TS COLLEGE OF COMPUTER APPLICATIONS  (Id: C-58972),1
K.S.G. College of Arts and Science (Id: C-41058),248
"K.S.G.M. COLLEGE, NIRSA, DHANBAD (Id: C-44406)",1743
K.S.GOUTAM COLLEGE OF COMMERCE RABKAVI (Id: C-60825),0
K. S. HEGDE MEDICAL ACADEMY (Id: C-19319),320
"Kshetra Pal Mahavidyalaya, Desuri (Id: C-13272)",95
KSHM ARTS AND SCIENCE COLLEGE (Id: C-51970),76
"Kshna Chaitanya Institute of Management, Devarajugattu(CC-2Y) (Id: C-17951)",57
"Kshtriya College of Education, Kathgadh Road, Kursain, Indora, Distt Kangra (Id: C-11276)",77
KSHUDIRAM BOSE COLLEGE OF EDUCATION (Id: C-61409),0
"K S Institute of Technology, BANGALORE (Id: C-1283)",401
"K.S. JAIN COLLEGE OF LAW SHAMLI, MUZAFFARNAGAR (Id: C-28841)",11
"K.S. JAIN INSTITUTE OF ENGINEERING AND TECHNOLOGY, GHAZIABAD (Id: C-46396)",17
K S Jain Institute of Management (Id: C-52897),1
K.S.K. College of Education (Id: C-14529),107
K.S.K College of Engineering and Technology (New) (Id: C-24999),119
K.S. Maniam College of Education (Id: C-15017),29
K.S.M. College (Id: C-12879),1073
K.S.M. College of Education for Women (Id: C-14390),160
K. Smt. Madhuritai Deshmukh Physical Education College (Id: C-18218),97
"K.S.N. Government Degree College for Women, Anantapur (Id: C-30938)",223
K.S.N.R College of Education (Id: C-55328),0
K.S.N.R. DEGREE COLLEGE (Id: C-24257),25
"K.S.P. Mandal's, College of Library & Information Science, Mahatma Gandhi  Corner, Osmanabad. (Id: C-34547)",39
"K.S.Raja Arts &Science College for Women,Cherapperattai-604 210 (Id: C-36441)",117
K.S.Rangasamy College of Technology (Id: C-39247),1114
K.S.R Arts & Science College (Autonomous) (Id: C-9528),1360
"K.S.R B.ED COLLEGE, CUMBUM (Id: C-56502)",71
K.S.R. College of Arts & Science for Women (Id: C-9531),475
KSR College of Education (Id: C-14510),220
"KSR COLLEGE OF EDUCATION, BELGAUM (Id: C-10147)",94
K S R College of Engineering (Id: C-36924),940
"K.S.R. College, Sarairanjan (Id: C-8749)",1100
K S R DEGREE COLLEGE (Id: C-57656),13
"KSR Degree College for Women, D.No. 19-214,Warangal Road, Narsampet (Id: C-27453)",210
"KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY, NAMAKKAL (Id: C-45295)",304
"K.S.R.INSTIUTE OF DENTAL SCIENCE AND RESEARCH (Inst. Code - 196), NAMAKKAL (Id: C-45767)",54
K.S.R & K.R.K College of Education (Id: C-39235),39
K.S.R.M. College of Engineering (Id: C-26868),631
K.S.R.M. College of Management Studies (Id: C-26850),126
"K.S.SAKET P.G. COLLEGE, FAIZABAD (Id: C-42315)",2394
"KSS ARTS AND COMMERCE COLLEGE, RON (Id: C-49634)",83
"KSS Arts & Commerce College, Mulgund. (Id: C-35556)",59
"KSS Arts,Science & Commerce College, Gadag (Id: C-35621)",355
 K S SCHOOL OF ARCHITECTURE (Id: C-56453),0
"K S School of Engineering & Management, BANGALORE SOUTH (Id: C-1344)",311
"KSS College of Education and PG centre, Davangere (Id: C-17738)",0
KSSs Arts & Commerce College Hubli (Id: C-35454),109
KSSs B.S.W. College Hubli. (Id: C-35530),24
KSS Vijayanagar College of Education Hubli (Id: C-35601),89
"K.S.T. College, Sohsarai (Id: C-12926)",1286
KSUB COLLEGE  (Id: C-62245),402
"KSUB College of Teacher Education, Bhanjanagar (Id: C-39319)",0
"K S V Institute of Engg. and Technology, Sadat, Ghazipur (Id: C-52367)",80
kTCT COLLEGE OF ARTS & SCIENCE (Id: C-53303),77
"KTCT College of Teacher Education, Kaduvayil, Thottakkadu, Kallambalam, Thiruvananthapuram (Id: C-43722)",46
KTG College of Physiotherapy (Id: C-40472),32
"K.T. Government College, Ratia (Id: C-22422)",128
KT MAHAVIDYALAYA SAWARGAON TQ KALAMB DIST YAVATMAL (Id: C-62640),0
KTMCollege of Advanced studies (Id: C-8226),61
K T N COLLEGE OF PHARMACY (Id: C-50997),31
K T PATIL COLLEGE OF COMMERCE (Id: C-62448),0
"K.T. Patil College of Engineering, Osmanabad. (Id: C-34488)",11
K.T.R.WOMEN'S COLLEGE (Id: C-25312),42
"K.T.S. Government Degree College, Rayadurg (Id: C-30933)",148
"KTSP Mandal's Hutatma Rajguru Mahavidyalaya, Rajgurunagar, Pune 410505 (Id: C-41707)",689
K T S V FIRST GRADE COLLEGE FOR WOMEN (Id: C-52488),34
KTUVKM SHRI N S DESAI COLLEGE OF EDUCATION (Id: C-6766),92
"KU. A.B. GARDI SHRI GRAMVIDHYA MAHAVIDHYALAYA B.S.M.S. COLLEGE OF RURAL STUDIES, SHARDAGRAM . (Id: C-1052)",113
"Kuba Mahavidyalaya,Dariyapur,Newada, Azamgarh (Id: C-15974)",717
"Kuber Mahavidyalaya, Hasanpur, Jajauli No. 2 Ballia (Id: C-13704)",317
"Kuchaman College, Kuchaman City (Id: C-13215)",298
"Kuchaman College of Education, Kuchaman City (Id: C-13184)",96
KUCHAMAN PHARMACY COLLEGE (Id: C-59890),0
"Kuchinda College,Kuchinda (Id: C-40882)",126
KUCTE ADOOR (Id: C-63377),49
"Kudal Sangam Education Societies Arts College for Women, Shahabad-585 228 (Id: C-8634)",139
"Kugler Memorial Physiotherapy Degree College, Guntur (Id: C-30567)",48
"Kujang College,Kujang,Jagatsinghpur (Id: C-39717)",127
"Kukadi  Education Societys Arts College,Pimplegaon Pisa, Tal. Shrigonda,Dist.Ahmednagar (Id: C-41289)",48
"Kukke Sri Subrahmanyeshwara Fr. Gr. College, Subrahmanya - 574238 (Id: C-16953)",201
Kukreja Institute of Hotel Management & Catering Technology (Id: C-21286),61
"Kukreja Institute of Teachers Education, Dehradun (Id: C-24656)",132
Kulajan College P.O.Kulajan Tinali (Id: C-8451),44
"Kular College of Nursing,  VPO Kishangarh, Distt.  Ludhiana (Id: C-29113)",105
"Kullu College of Education, Vill. Bohgana, PO Garse, Distt Kullu (Id: C-11405)",116
KULLU VALLEY COLLEGE OF NURSING (Id: C-62394),0
Kultali Dr. B. R. Ambedkar College (Id: C-11914),168
Kulti College (Id: C-44731),845
KULTIKRI TEACHER TRAINING INSTITUTE OF HIGHER STUDIES (Id: C-59348),0
"Kumadvathi College of Education, Shikaripura. (Id: C-17792)",49
"KUMADVATHI FIRST GRADE COLLEGE, SHIKARIPURA (Id: C-51725)",95
"KU. MAHESH SINGH J.S.S. MAHAVIDYALAYA,VAKTUKHERA,AJGAIN (Id: C-47729)",685
Kumaraguru College of Liberal Arts and Science (Id: C-60410),0
Kumaraguru college of Technology (Id: C-36926),1481
KUMARAGURU INSTITUTE OF AGRICULTURE (Id: C-58923),54
KUMARAN INSTITUTE OF TECHNOLOGY (Id: C-48249),0
KUMARARANI MEENA MUTHIAH COLLEGE OF ARTS AND SCIENCE (Id: C-43940),142
KUMAR B.ED COLLEGE (Id: C-51949),106
KUMARESH INTERNATIONAL B.Ed. COLLEGE (Id: C-49203),87
KUMARGANJ COLLEGE (Id: C-55940),9
"Kumari G. Sudha Shankara Gouda Memorial Theosophical College of Management, Hospet - 583 201. (Id: C-8549)",41
Kumari Lakshmi Badhala Education and Research Institute (Id: C-26570),25
KUMAR INSTITUTE OF MANAGEMENT & INFORMATION TECHNOLOGY (Id: C-31361),8
"Kumari Vidyavati Anand D.A.V. College for Women, Karnal. (Id: C-10661)",568
"Kumar Parmarth Baba Govind Mahavidyalaya Kalyanpur ,Mau (Id: C-16141)",534
"Kumar Shikshan Sanstha, Garkheda Aurangabad Sanchalit, Swami Vivekanand College of Computer Science, Aurangabad. (Id: C-34480)",9
"Kumbhalkar College of Social Work, Wardha (Id: C-18726)",85
"Kumbhalkar Social Work College, Ganeshpeth (Id: C-18962)",59
Kumbi College (Id: C-9415),71
"Kumodini Mahila Shikshak Prakshishan Mahavidyalaya. Sector-B, Bhagwati Colony,Near PWD, Jodhpur (Id: C-37170)",94
KUMRI VIVEKANANDA P.T.T.I.  (Id: C-58137),0
"Kumuda Institute of Nursing Sciences, Kumuda College of Nursing (Id: C-40373)",38
"KUMUD BEN DURBAR COLLEGE OF BCA,  BIJAPUR (Id: C-10024)",82
KUMUD BEN DURBAR COLLEGE OF BUSINESS ADMINISTRATION.  BIJAPUR (Id: C-10084),94
"Kumud Singh Mahavidyalaya,Masuriypur,Nanijor,Azamgarh (Id: C-16057)",903
"KU. MUNINDRA SINGH MAHAVIDYALAYA, DEENSAHGAURA, (Id: C-12670)",190
Kumutha College of Education (Id: C-14497),97
Kunbi Shikshan Prasarak Sansthas Arts and Science College Bharna Naka Tal Khed Dist Ratnagiri (Id: C-33638),626
Kunbi Shikshan Prasarak Sansthas College of Education Bharne Tal-Khed Dist Ratnagiri (Id: C-33507),46
KUNDAM TECHNOLOGY INSTITUTE (Id: C-59175),90
"KUNDAN LAL SHUKLA MAHAVIDYALAYA, RANIA, (Id: C-12175)",1263
Kundan Singh Memorial College of Law (Id: C-56953),40
"Kundan Singh Memrial Mahavidyalaya, Kaurala (Id: C-13361)",510
"KUNJBIHARILAL MEMO. MAHAVIDYALAYA, DUBKI, HASANPUR, (Id: C-12198)",85
"Kunnamangalam Government Arts and Science College, Chathamangalam (Id: C-54895)",70
"Kunthavai Naacchiyaar Government Arts College for Women (Autonomous), Thanjavur - 613 007. (Id: C-35814)",1415
"Kunti Naman Institute of Pharma Technology and Sciences, Haridwar (Id: C-24594)",95
"Kunvar Singh Mahavidyalaya, Ballia (Id: C-13546)",641
"KUNWAR AJAY SINGH VIDHI MAHAVIDYALAYA,LALAU KHERA,DEEH (Id: C-47771)",52
"KUNWAR ASIF ALI KAISAR JAHAN DEGREE COLLEGE, HYDRABAD, (Id: C-12370)",710
"KUNWAR HARI BANSH SINGH COLLEGE OF PHARMACY, JAUNPUR (Id: C-46801)",45
"KUNWAR HARIBANSH SINGH INSTITUTE OF MANAGEMENT, JAUNPUR (Id: C-46802)",2
KUNWAR HARPAL SINGH CHANDEL MAHAVIDYALAYA MAHRONI LALITPUR (Id: C-52764),0
"KUNWARI CHANDRAWATI MAHAVIDYALAYA, MUMTAZNAGAR, FAIZABAD (Id: C-42615)",373
"KUNWAR MAHAVIDYALAYA, VILL MAHAVATPUR, JATPURA, BIJNOR (Id: C-57565)",36
KUNWAR PIRTHI NATH SINGH B.Ed. COLLEGE (Id: C-53502),90
KUNWAR PRABHA DEGREE COLLEGE LALDHANG HARIDWAR (Id: C-57519),44
"KUNWAR RAM BHAROSE MAHAVIDYALAYA, HASANGANJ, (Id: C-12103)",346
"KUNWAR SATYAVIRA COLLEGE OF ENGINEERING AND MANAGEMENT, BIJNOR. (Id: C-46053)",140
"Kunwar Singh Smarak Mahavidyalaya, Pichari (Id: C-55439)",120
KU PG Center Gadag (Id: C-35657),79
KU PG Center Haveri (Id: C-35507),101
KU PG Center Karawar (Id: C-35541),56
"Kuppam Degree College, Chinnakurabala palli ,Kuppam (Id: C-27778)",121
Kuppam Engineering College. Chittoor (Id: C-26974),161
KURAWAR COMPUTER ACADEMY (Id: C-63868),21
"Kuriakose Elias College, Mannanam, Kottayam-686 561 (Id: C-11620)",564
"Kuriakose Gregorios College, Pampady, Kottayam 686 502 (Id: C-11557)",197
"KURINCHI COLLEGE OF EDUCATION, ATTUR (Id: C-56849)",111
"Kurinji College of Arts & Science, Green Ways Road, Tiruchirappalli - 620 002. (Id: C-35774)",70
Kurinji College of Engineering and Technology (Id: C-25060),38
KURLI ANNAPURANAMMA RAMIREDDY DEGREE COLLEGE  (Id: C-56612),24
"Kurnool Degree College, (Id: C-26314)",102
"KURSEONG COLLEGE, DARJEELING (Id: C-45337)",95
Kurukshetra College of Education (Id: C-10540),32
