Institution,UgMale,UgFemale,DMale,FemaleD,CMale,CFemale,IMale,IFemale
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",0,1128,0,0,0,0,0,0
"Fakir Mohan University, Balasore (Id: U-0354)",234,273,0,0,0,0,0,0
Footwear Design and Development Institute (Id: U-0898),277,332,0,0,0,0,0,0
"Forest Research Institute, Dehradun (Id: U-0553)",0,0,0,0,0,0,0,0
GALGOTIAS UNIVERSITY (Id: U-0643),8538,2604,749,52,0,0,0,0
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",780,909,129,76,5,20,108,143
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",38689,23716,35,14,0,0,216,269
GANGADHAR MEHER UNIVERSITY (Id: U-0852),2041,1724,0,0,0,0,113,186
"Ganpat University, Ganpat Vidyanagar, Kherva (Id: U-0132)",461,163,0,0,0,0,80,11
Garden City University (Id: U-0918),812,651,0,0,0,0,0,0
"Gauhati University, Guwahati (Id: U-0052)",557,344,11,4,3,12,227,279
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",701,335,0,0,0,0,1201,567
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar (Id: U-0554)",0,0,0,0,0,0,0,0
GEETANJALI UNIVERSITY (Id: U-0746),1310,920,347,146,0,0,0,0
G.H. RAISONI UNIVERSITY (Id: U-0977),0,0,0,0,0,0,0,0
"G.L.A University, Mathura (Id: U-0513)",5347,1609,1687,52,12,0,0,0
GLS UNIVERSITY (Id: U-0775),0,0,0,0,0,0,0,0
GNA UNIVERSITY (Id: U-0789),1260,859,143,6,65,1,0,0
"Goa University, Goa (Id: U-0121)",11,23,0,0,0,0,101,62
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",0,0,0,0,0,0,0,0
GOKUL GLOBAL UNIVERSITY (Id: U-0962),0,0,0,0,0,0,0,0
"GONDWANA UNIVERSITY, GADCHIROLI (Id: U-0658)",0,0,0,0,0,0,0,0
"Govind Guru Tribal University, Banswara (Id: U-0896)",0,0,0,0,0,0,0,0
GRAPHIC ERA HILL UNIVERSITY (Id: U-0638),3730,1975,140,20,0,0,83,45
"Graphic Era University, Dehradun (Id: U-0555)",3635,1553,0,0,18,3,0,0
G S F C UNIVERSITY (Id: U-0759),821,213,30,0,21,0,0,0
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",150,194,6,17,0,0,0,0
Gujarat Forensic Sciences University (Id: U-0593),0,0,0,0,0,0,9,0
"Gujarat National Law University, Gandhinagar (Id: U-0134)",0,0,0,0,0,0,490,423
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",0,0,0,0,0,0,0,0
"Gujarat University, Ahmedabad (Id: U-0136)",0,0,0,0,44,66,0,0
GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES (Id: U-0817),0,0,0,0,0,0,0,0
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",613,546,0,0,0,0,0,0
"Gulbarga University, Gulbarga (Id: U-0219)",0,0,0,0,0,0,0,0
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",434,252,173,5,0,0,0,0
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",2665,1775,79,43,0,0,209,215
Guru Gobind Singh Indraprastha University (Id: U-0099),175,224,0,0,0,0,1240,497
"GURUGRAM UNIVERSITY, GURUGRAM (Id: U-1021)",220,90,0,0,0,0,0,0
"Guru  Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",4128,1526,0,0,0,0,177,199
GURU KASHI UNIVERSITY (Id: U-0653),2641,1130,511,230,0,0,0,0
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",3746,169,59,0,0,0,0,0
"Guru Nanak Dev University, Amritsar (Id: U-0376)",2027,2166,34,23,161,74,0,0
GURU RAVIDAS AYURVED UNIVERSITY (Id: U-0660),0,0,0,0,0,0,0,0
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",319,330,9,9,5,2,224,114
HEMCHAND YADAV VISHWAVIDYALAYA (Id: U-0831),0,0,0,0,0,0,0,0
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",8682,8505,43,52,0,0,3,12
HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY (Id: U-0819),0,0,0,0,0,0,0,0
"Hidayatullah National Law University, Raipur (Id: U-0086)",0,0,0,0,0,0,470,419
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",8,0,0,0,0,0,0,0
"Himachal Pradesh University , Shimla (Id: U-0183)",1476,1468,15,12,115,94,208,47
HIMALAYAN GARHWAL UNIVERSITY (Id: U-0912),1276,524,385,85,0,0,0,0
"Himgiri Zee University, Dehradun (Id: U-0559)",612,256,20,3,0,0,0,0
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",5587,993,0,0,0,0,0,0
"Homi Bhabha National Institute, Mumbai (Id: U-0304)",0,0,0,0,0,0,0,0
"Homoeopathy University, Jaipur (Id: U-0607)",233,367,0,0,0,0,0,0
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",2683,1234,0,0,0,0,98,87
ICFAI UNIVERSITY (Id: U-0635),92,84,0,0,0,0,0,0
IEC (INDIA EDUCATION CENTRE) UNIVERSITY (Id: U-0696),273,123,50,10,0,0,0,0
"IFTM University, Moradabad (Id: U-0515)",2190,381,1448,16,0,0,0,0
IIHMR UNIVERSITY (Id: U-0851),0,0,0,0,0,0,0,0
IILM UNIVERSITY (Id: U-0988),62,50,0,0,0,0,0,0
IIMT University (Id: U-0889),1684,601,471,150,0,0,0,0
"I.I.S. University, Jaipur (Id: U-0394)",6,3513,0,16,0,26,0,187
"I K Gujral Punjab Technical University, Jalandhar (Id: U-0382)",525,258,0,0,0,0,0,0
IMS UNISON UNIVERSITY (Id: U-0773),686,368,0,0,0,0,223,157
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),0,0,0,0,0,0,0,0
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR (Id: U-0584)",2018,338,0,0,0,0,0,0
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",0,0,0,0,0,0,0,0
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",902,138,0,0,0,0,348,57
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR (Id: U-0953),159,11,0,0,0,0,0,0
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",494,153,0,0,0,0,465,149
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD (Id: U-0803)",240,48,0,0,0,0,0,0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI (Id: U-0795)",363,29,0,0,0,0,0,0
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI (Id: U-0796)",293,30,0,0,0,0,0,0
