,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Gurukul Management Studies 221 (Id: C-6253),4,1,1,,,,,,,,,,,
"Gurukul Patanjali Vidyapeeth, Rampur, Deoaria, Ghazipur (Id: C-52408)",7,1,,,,,2,1,,,1,,,
"Gurukul Residential Training College of Civil Services, Karmad (Id: C-60006)",8,1,1,,,,7,1,,,,,1,
"Gurukul Sanskar Kanya Mahavidyalaya, Sumerpur (Id: C-13011)",1,8,,,,,,3,,,,,,
Gurukul Sanskrit College (Id: C-44060),8,1,,,,,1,,,,,,,
"Gurukul Sanskrit Mahavidyalaya, Shukrataal (Id: C-20249)",1,,,,,,0,,,,,,,
"Gurukul Sanskrit Mahavidyalaya, Suryakund (Id: C-20314)",5,2,,,,,2,,,,,,,
"Gurukul Teachers' Institute, Kekri (Id: C-13127)",12,4,1,,1,,6,1,,,,,,
GURUKUL TEACHERS TRAINING CENTRE (Id: C-56707),8,4,1,,,,1,,,,3,1,,
GURUKUL TEACHER TRAINING INSTITUTE (Id: C-55884),8,2,,,,,2,,,,,,,
GURUKUL. THE. TEACHING INSTITUTE (Id: C-57110),12,7,1,2,,,3,1,,,2,,,
"GURU NANAK AVADEMY MAHILA MAHAVIDYALAYA, USRU, FAIZABAD (Id: C-42549)",6,14,1,2,,,2,2,,,,,,
"Guru Nanak Ayurvedic Medical College, Barkandi Road, Near Ajit Cinema (Id: C-29125)",23,11,,,,,,,,,,,,2
"Guru Nanak Ayurvedic Medical College & Research Institute, Malerkotla Road, VPO Gopalpur (Id: C-29218)",21,13,,,,,,,,,,,1,4
GURU NANAK COLLEGE (Id: C-43998),129,164,38,14,,,83,105,1,,1,3,15,21
Guru Nanak College Batala (Id: C-27916),9,11,,,,,,,,,,,9,11
"Guru Nanak College, Budhladha, Mansa (Id: C-22274)",56,109,1,7,,,5,9,1,,,,39,78
"GURU NANAK COLLEGE, DHANBAD (Id: C-44445)",17,23,1,1,,,2,4,,,,,,
"Guru Nanak College for Girls, Muktsar (Id: C-31050)",5,82,1,1,,,1,4,,,,,2,65
"Guru Nanak College, Killianwali (Id: C-29414)",11,11,,1,,,1,2,,,,,3,5
"GURU NANAK COLLEGE, MOGA (Id: C-50858)",8,22,,,,,,2,,,,,5,19
Guru Nanak College of Education (Id: C-30802),,7,,1,,,,,,,,,,1
Guru Nanak College of Education (Id: C-32891),1,12,,1,,,,2,,,,,,2
"Guru Nanak College of Education, Bhikhi, Mansa (Id: C-22182)",2,4,,1,,,,,,,,,1,3
"Guru Nanak College Of Education, Dalewal (Id: C-29367)",7,22,4,4,,,2,2,,,,,5,11
"Guru Nanak College of Education, for girls, Lehal Khurad, Sangrur (Id: C-22097)",,9,,,,,,,,,,,,2
"Guru Nanak College of Education for Women, Kapurthala (Id: C-27983)",,11,,,,,,,,,,,,7
"Guru Nanak College of Education, Gopalpur (Id: C-29428)",5,27,3,9,,,1,1,,,1,,3,17
Guru nanak College of Management and Technology (Id: C-10319),1,4,,,,,,,,,,,1,4
"Guru Nanak College of  Nursing, P.O. Dehlon,  Gopalpur, Distt. Ludhiana (Id: C-29240)",1,35,,,,,,,,,,,,34
"Guru Nanak College of  Nursing, VPO Dhahan  Kaleran,Distt. Nawanshahr (Id: C-29225)",2,37,,5,,,,3,,,,,1,28
"Gurunanak College of Pharmacy, Dikshit nagar (Id: C-18951)",14,9,,,,,,,,,,,,
"Guru Nanak Dev College of Education, Majatri, Kharar, (Id: C-22125)",1,24,,3,,,,1,,,,,1,13
"GURU NANAK DEV EDUCATIONAL INSTITUTE,ETARA (Id: C-48948)",9,6,2,,,,,2,,,1,1,,1
"Guru Nanak Dev Engineering College, BIDAR (Id: C-1246)",111,32,7,1,3,,8,3,,,6,2,9,3
"Guru Nanak Dev Engineering College, Ludhiana (Id: C-10381)",127,87,6,2,,,4,1,,,,,102,70
"Guru Nanak Dev Khalsa Girls College, Bathinda (Id: C-22133)",,22,,2,,,,5,,,,,,17
"Guru Nanak Dev University College, Chung, Khemkaran Road, Near Bhikhiwind (Id: C-27861)",10,21,2,1,,,1,1,,,,,7,18
"Guru Nanak Dev University College, Narot Jaimal Singh (Id: C-27974)",11,21,5,2,,,,3,,,,1,7,3
"Guru Nanak Dev University College, Pathankot (Id: C-57285)",12,27,1,3,,,1,3,,,,,,4
"GURU NANAK DEV UNIVERSITY COLLEGE,PATTI (Id: C-51088)",10,21,3,1,,,2,2,,,,,6,13
Guru Nanak Dev University College Sujanpur (Id: C-61349),2,16,1,1,,,1,5,,,,,,4
"Guru Nanak Dev University College, Verka (Id: C-27921)",17,44,2,1,,,,,,1,,,16,24
Guru Nanak Dev University Regional Campus (Id: C-27969),8,38,3,4,,,,1,,1,,,6,13
"Guru Nanak Dev University Regional Campus, Fattu Dhinga, Sultanpur Lodhi (Id: C-27922)",4,11,,1,,,,6,,,,1,3,9
"Guru Nanak Girls College, Santpura (Id: C-12031)",2,120,1,9,,1,,17,,1,,,,38
"GURU NANAK GIRLS DEGREE COLLEGE, (Id: C-12365)",,31,,,,,,,,,,,,7
Guru Nanak Girls P.G. College (Id: C-53578),3,46,,2,,,1,3,,,,1,,2
GURU NANAK INSTITUTE OF DENTAL SCIENCES & RESEARCH (Id: C-16436),53,24,,,,,,,,,2,1,,
Guru nanak Institute of Engg. & Management (Id: C-10372),14,8,1,4,,,1,,,,3,,,5
"Guru Nanak Institute of Engineering and Technology, Dahegaon (Id: C-18601)",30,63,5,9,,1,8,20,,,2,9,,2
GURU NANAK INSTITUTE OF HIGHER EDUCATION  (Id: C-62551),2,6,,,,,,,,,,,,2
Gurunanak Institute of Hotel Management 185 (Id: C-6330),11,2,,,,,,,,,,,1,
Gurunanak Institute of Hotel Management 312 (Id: C-6327),10,5,,,,,,,,,,,2,
Guru Nanak Institute of Hotel Management and Catering Studies  (Id: C-61799),1,3,,,,,,,,,,,,1
Guru Nanak Institute of Management (Id: C-32852),4,13,,,,,,,,,,,2,6
"Guru Nanak Institute of Management and Technology, Ludhina (Id: C-10492)",10,20,,,,,,,,,,,5,12
Gurunanak Institute of Pharmaceutical Science and Technology 186 (Id: C-6323),22,21,,,,,,,,,,,,
GURU NANAK INSTITUTE OF PHARMACY (Id: C-52062),4,18,2,7,,,,1,,,,,1,12
Guru Nanak Institute of Technology (Id: C-19531),174,81,15,4,3,1,100,40,,,13,4,3,4
Gurunanak Institute of Technology 143 (Id: C-6166),67,65,,,,,,,,,3,,,
Gurunanak Institute of Technology 311 (Id: C-6331),3,13,,,,,,,,,,,,
"Guru Nanak Institute of Technology, Dahegaon (Id: C-18808)",53,38,12,6,2,,23,20,,,2,1,1,
Guru Nanak Institutions Technical Campus (Id: C-19515),255,105,13,7,6,1,116,37,,,13,4,12,15
Guru Nanak Instt. Of Tech. (Id: C-10828),56,33,,,,,,,,,,,6,10
"Guru Nanak Khalsa College for Women, Model Town (Id: C-29415)",,27,,1,,,,1,,,,,,20
"Guru Nanak Khalsa College, Karnal (Id: C-10816)",9,6,,0,,,1,,,,,,4,
Guru Nanak Khalsa College of Arts Science & Commerce Kings Circle Matunga Mumbai  400 019 (Id: C-34174),55,108,,5,,,1,6,,,3,2,7,21
"Guru Nanak Khalsa College, Yamuna Nagar (Id: C-10527)",45,55,1,1,,,,,,,,,13,18
"Guru Nanak Khalsa Institute of Technology and Management Technical Campus, Yamuna Nagar (Id: C-10843)",4,13,,,,,1,1,,,,,1,4
"Guru Nanak National College, Doraha (Id: C-29319)",18,42,5,3,,,3,5,,,,,13,29
Guru Nanak Prem Karamsar College Nadala (Kapurthala) (Id: C-27971),5,11,1,,,,,4,,,,,4,9
"Gurunanak Science College, Ballarpur (Id: C-18587)",14,10,2,5,,1,6,3,,,,,3,3
Guru Nanak Vidyak Society College of Education and Research Bhandup Mumbai  400 078 (Id: C-33621),1,8,,,,,1,,,,,1,,1
"GURU NANK COLLEGE OF EDUCATION, PULWAMA (Id: C-45993)",1,4,,,,,,,,,1,4,,
Gurunank Institute of Pharmaceutical Science and Technology 313 (Id: C-6267),11,15,,,,,,,,,,,,
GURU NARAYANA COLLEGE OF ARTS AND SCIENCE (Id: C-53609),2,12,,,,1,1,8,,,,,1,2
GURU NIRANJAN MAHAVIDYALAYA LUHENTA MOD IRADAT NAGAR AGRA (Id: C-15511),10,2,1,,,,3,2,,,,,,
"Guru Phulchand Mahavidyalaya, Daulatpur, Ghazipur (Id: C-16021)",28,3,12,1,,,7,1,,,,,,
   GURU PRAKASH B.ED. COLLEGE (Id: C-56059),12,5,,,,,4,3,,,,,,
"GURU PUSHKAR  JAIN, COLLEGE, GOGUNDA (Id: C-39960)",5,2,,,,,2,1,,,,,1,
GURU RAGHUVAR PRASAD BAUDDH DEGREE COLLEGE (Id: C-63192),5,1,2,,,1,1,,,,,,,
"GURU RAMANAND B.SC.B.ED.(INTEGRATED)COLLEGE,VIJAPUR (Id: C-60062)",4,4,,,,,,,,,,,,
"Guru Ramdas Khalsa Institute of Science & Technology, Barela,                 Jabalpur-482002"" (Id: C-35993)",42,26,2,1,,,15,2,,,1,1,3,5
"Guru Ramdas Khalsa Institute of Science & Technology (Pharmacy), Kukrikheda, Barela, Jabalpur--483001 (Id: C-36251)",21,11,2,,,,8,4,,,2,1,,1
GURU RAMDAS MALWA COLLEGE BUTTAR SAREEH (Id: C-51470),1,7,,1,,,,,,,,,1,5
"Guru Ram Dass B.Ed College, Jalalabad(W) (Id: C-29302)",8,28,1,3,,,3,6,,,,,3,16
Guru Ram Dass College of Education (Id: C-32881),2,14,,,,,,,,,,0,,3
Guru Ram Dass Institute of Engg. and Technology (Id: C-10407),48,43,1,1,,,1,2,,,,,34,29
"GURU ROPAN SIKSHAN SANSTHAN, ORAI (Id: C-22606)",17,3,1,,,,7,1,7,1,,,,
GURU SAHAY MAHAVIDYALAYA BHAIPUR FAIZABAD (Id: C-61131),10,3,,,,,8,2,,,,,,
Gurushree College of Commerce and Social work  (Id: C-6993),17,7,3,1,1,,9,3,,,,,,1
GURU SHREE SHANTHI VIJAI JAIN COLLEGE FOR WOMEN (Id: C-43918),,58,,6,,,,42,,,,,,7
Guru Teg Bahadar Khalsa College of Information Technology (Id: C-51318),17,16,,1,,,2,1,,,,,11,13
"Guru Teg Bahadur College for Women  Village Lehal Khurd, Lehragagga, Sangrur (Id: C-22232)",6,13,,,,,1,,,,1,,5,6
Guru Teg Bahadur College of Education (Id: C-22881),3,9,1,1,,,1,,,,,,,1
"Guru Teg Bahadur College of Education, Dalelwala, Teh. Budhladha, Mansa (Id: C-22188)",9,6,,1,,,,1,,,,,8,6
"Guru Teg Bahadur College of Education, Village Lehal Khurd, Lehragagga (Id: C-22164)",6,5,2,,,,1,,,,,,3,2
"Guru Teg Bahadur College  of Nursing, Jandiala Guru,  Distt. Amritsar (Id: C-29175)",,39,,2,,,,,,,,,,38
"GURU TEG BAHADUR DEGREE COLLEGE, CHHAVI (Id: C-51428)",10,10,,1,,,9,8,,,1,,,
"Guru Teg Bahadur Institute of Management & Technology , Dakah (Id: C-10448)",5,8,2,,,,,,,,,,4,6
Guru Teg Bahadur Institute of Technology (Id: C-32894),27,52,,,,,1,,,1,,,14,22
"Guru Teg Bahadur  Khalsa College for Women, Dasuya (Id: C-29268)",1,44,,7,,,,,,,,,,28
Guru Teg Bahadur Khalsa Institute  of Engg. & Technology (Id: C-10351),41,12,,,,,,,,,,,20,8
"Guru Teg Bahadur National College, Dakha (Id: C-29350)",11,15,,,,,,2,,,,,9,9
"Guru Tegh Bahadur College, Bhawanigarh, Sangrur (Id: C-22104)",7,9,,1,,,1,2,,,,,6,9
"Guruvandana Law College,Kalawad (Id: C-57541)",5,2,,,,,,,,,1,,,
Guruvarya B S  Naik Memorial Trusts College of Arts & Commerce Co R P D High School Sawantwadi  Dist  Sindhudurg (Id: C-33605),4,9,1,,,,,3,,,,,1,
"Guru Vashishtha Education College, Dewas (Id: C-32617)",5,10,,1,,,2,1,,,2,1,,
"GURU VASHISTH MAHAVIDYALAYA, MANKAPUR, GONDA (Id: C-42427)",8,2,,,,,2,,,,,,,
"Guru Vashita College, Dewas (Id: C-31732)",8,7,1,,,,3,2,,,,,,
GURUVAYOOR CAMPUS (Id: C-27025),27,12,1,,,,5,5,,,,,,4
Guruvayurappan Institute of Management (Id: C-41103),8,4,,,,,,,,,,,1,
Gushkara Mahavidyalaya (Id: C-44767),28,20,7,4,,,2,1,,,2,2,,
"Guthikonda Sreeramulu College of Education, Buchireddypalem (Id: C-24745)",5,3,2,,,,2,,,,,,1,
Guwahati College (Id: C-17362),33,22,3,,3,3,9,8,1,,1,1,,1
Guwahati College of Architecture (Id: C-57435),9,5,1,1,,,,,,,,,,
G.V.& A.D.S.L. College of Education (Id: C-32678),8,8,2,1,,,4,1,,,1,1,,
G.V.C. College of Education (Id: C-14586),10,6,4,2,,,6,3,,,,,,
"G.Venkataswamy Naidu College, Kovilpatti - 628 502, Thoothukudi Dist. (Id: C-41187)",38,65,8,8,,,28,53,,,,,1,4
"G.V. Home Science College, Sangaria (Id: C-40756)",5,24,2,2,,,2,8,,,,1,,3
"GVK Degree College, Kothur (Id: C-24808)",5,5,,1,,,2,,,1,,,,
G.V.K. Emergency Management & Research Institute (Id: C-25426),6,2,,,,,,,,,,,,
GVM BACHELOR OF SCIENCE COLLEGE (Id: C-60454),1,4,,,,,,1,,,,,,
G.V.M. COLLEGE OF EDUCATION FOR WOMEN (Id: C-28197),,16,,,,,,,,,,,,
"GVM College of Pharmacy, Murthal Road Sonipat (Id: C-30743)",1,10,,,,,,1,,,,,,
"G.V.M.Girls College, Sonepat (Id: C-28465)",6,110,,,,,2,6,,,,,,
G.V.M. Institute of Technology and Management (Id: C-19314),4,21,,,,,,,,,,,,
"GVM NURSING COLLEGE, ANIYAD (Id: C-47907)",2,19,,,,4,,7,,,,,,1
"GVP COLLEGE OF BUSINESS ADM.,, BELGAUM (Id: C-9970)",1,,,,,,1,,,,,,,
"GVPP,    Govt., First Grade College, Ramnagar, Hagaribommanahalli. (Id: C-8595)",53,26,6,4,7,5,34,13,,,2,1,,
G.V.R & S College of Education (Id: C-39228),,1,,,,,,,,,,,,
"G V R  & S College of Engineering & Technology, Ganjinenipuram, Near Budampadu,PIN- 522013(CC-2W) (Id: C-18059)",113,32,8,1,4,,65,14,,,6,1,,
G V R & S Degree College for Women (Id: C-32690),,1,,,,,,,,,,,,
G.V.R.S Institute for Professional Studies (Id: C-32718),2,,,,,,,,,,,,,
G.V.S.M. GOVT. Degree College (Id: C-32724),7,2,3,2,,,3,,,,,,,
"GVSS Mahila Mahavidyalaya, Bishunpura (Kuti), Ahiraula, Azamgarh (Id: C-60703)",,1,,,,,,1,,,,,,
G.V.VAGHELA ARTS & COMMERCE COLLEGE VAKHA (DEODAR) (Id: C-45106),16,,,,,,7,,,,,,,
"G V VAGHELA SCIENCE COLLEGE, DEODAR (Id: C-50314)",9,1,2,,,,4,,,,,,,
"GVVR INSTITUTE OF TECHNOLOGY, Vempa Road, Tundurru, Bhimavaram,  PIN- 534207.(CC-JH (Id: C-18146)",10,8,,,,,5,,,,,,,
"GVV'S SHRI SHANTAVIRA ARTS COLLEGE,  BABALESHWAR (Id: C-10047)",15,7,1,1,,,4,3,,,,,,
"GVVSs S.M.Bhoomaraddi Arts & Commerce College, Gajendragad. Tq: Ron. (Id: C-35480)",13,1,3,,,,10,1,,,,,,
GWALIOR LAW COLLEGE MORAR (Id: C-34987),4,4,1,,,,1,1,,,,,,
Gyaanmoorti Mahavidhylaya (Id: C-56878),10,1,1,,3,,1,,,,1,,,
"GYANADEVI DEGREE COLLEGE, KUANARPUR RENCH PURI (Id: C-62238)",1,6,,,,,1,2,,,,,,
Gyana Jyothi College of Pharmacy (Id: C-27589),6,25,1,1,,2,3,10,,,0,3,1,1
GYANANDA ACADEMY OF HIGHER EDUCATION (Id: C-56246),8,4,2,,,,2,2,,,,,,
Gyanarthi Media College (Id: C-53579),6,7,,,,,,,,,1,,,
GYANAYAGAN COLLEGE OF SCI.& MANAGEMENT-RAJKOT (Id: C-998),13,16,1,,,,2,1,,,,,,
"Gyanbharti college, Deoli (Id: C-18301)",11,5,4,,,,4,3,,,,,2,
Gyan Bharti College of Education (Id: C-10737),13,16,5,1,,,2,6,,,,,,
Gyan Bharti College of Education (Id: C-57552),8,7,1,1,,,3,1,,,,,,
GYAN BHARTI COLLEGE OF EDUCATION (Id: C-59205),16,,2,,1,,11,,,,1,,,
"GYAN BHARTI INSTITUTE OF MANAGEMENT STUDIES, JEWARI, KHIRWA ROAD, KANKER KHEDA, MEERUT (Id: C-28860)",28,29,2,1,,,3,3,,,,,,
"GYAN BHARTI INSTITUTE OF TECHNOLOGY, PARTAPUR BYPASS ROAD, MEERUT (Id: C-46199)",32,13,6,2,,,10,4,,,4,,,
Gyan Bharti Teachers Training College (Id: C-59579),17,,2,,,,9,,,,2,,,
"Gyandaini Mahila Mahavidyalaya, Parampur, Akelawan, Varanasi (Id: C-13523)",8,5,,,,,3,,,,,,,
"GYANDEEP COLLEGE OF ADMINISTRATION, VADDHAMNA (Id: C-49981)",6,1,6,1,,,,,,,,,3,1
"GYAN DEEP DEGREE COLLEGE,NEWADA,TADIYAWAN (Id: C-48932)",7,4,,,,,3,,,,,,,
GYANDEEP INSTITUTE OF NURSING SCIENCE (Id: C-50440),6,22,,6,1,2,2,10,,,,1,1,4
"GYANDEEP KANYA MAHAVIDYALAYA,PANDEYPURWA,SINDHAULI (Id: C-47670)",5,5,,,,,2,4,,,,1,,
"Gyandeep P G Mahavidyalaya, Jaipur (Id: C-38363)",9,5,3,,,,2,,,,,,,1
Gyandeep Shikshak Prashikshan Mahavidyalaya (Id: C-60278),7,1,,,,,1,,,,,,,
"Gyandeep Shodh Avam Shikshan Sansthan , 78, Laxmi Nagar, Paota C-Road, Jodhpur (Id: C-37201)",3,7,,,,,3,6,,,2,,,
"Gyandip Education College, Janjgir (Id: C-22304)",17,7,2,1,,,8,4,,,,,,
"GYAN EDUCATION INSTITUTE LALPUR, MATHURA (Id: C-15456)",25,1,1,,,,8,1,,,2,,,
"Gyaneshwar Arts College, Pragati Nagar (Id: C-18482)",3,3,,,,,2,3,,,,,,
"Gyan Ganga College of Excellence,Jabalpur (Id: C-59861)",10,13,,,,,3,3,,,,,,
"Gyanganga College of Technology, Jabalpur (Id: C-33426)",6,4,,,,,,,,,,,,1
"GYAN GANGA COLLEGE OF TECHNOLOGY, JABALPUR (Id: C-53648)",51,36,,,,,2,4,,,,,1,2
GYAN GANGA INSTITUTE OF COMPUTER (Id: C-54719),2,4,,,,,1,,,,,,,
"Gyan Ganga Institute of Technology & Management, Khajuri Khurd, Raisen Road, Bhopal - 462021 (Id: C-36030)",84,41,,1,,,4,1,,,6,1,1,6
Gyan Ganga Institute of Technology & Sciences (Id: C-53649),119,83,,,,,9,3,,,1,,8,5
GYAN GANGA MAHAVIDHYALAYA GWALIOR (Id: C-31194),4,,,,,,1,,,,1,,,
Gyani Indra Singh Institute of Professional Studies (Id: C-21302),6,13,1,,,,1,,,,1,,,
"GYANJYOTI COLLEGE, DARJEELING (Id: C-45341)",14,13,2,1,1,4,3,1,,,,1,1,3
"Gyan Jyoti College, Srikaranpur (Id: C-40704)",6,10,,,,,2,1,,,,,,
Gyan Kanwar Girl s T. T. College (Id: C-58027),3,9,,,,1,2,2,,,,,,
"GYAN MAHAVIDYALAYA,ALIGARH (Id: C-15480)",36,20,3,2,,,15,3,1,,1,2,,
"Gyan Mandir College, Neemuch (Id: C-31637)",4,,1,,,,1,,,,1,,,
Gyanmanjari Diploma Engineering College (Id: C-61389),12,1,,,,,5,,,,2,,,1
Gyanmanjari Institute of Technology (Id: C-51523),41,20,,,,,15,4,,,1,1,,
Gyanmanjari Pharmacy College (Id: C-61390),2,3,,,,,,,,,,,,
"Gyanmanjari Science College,Bhavnagar (Id: C-58114)",6,7,2,,,,1,,,,,1,,
GYANODAYA DEGREE COLLEGE (Id: C-12805),16,6,1,,,,5,,1,,4,,,
GYANODAYA INSTITUTE OF PHARMACY (Id: C-62888),11,5,1,,,,5,3,,,1,,,
Gyanodaya Institute of Professional Studies (Id: C-57084),7,8,,,,,2,2,,,,,,
GYANODAYA INSTITUTE OF PROFESSIONAL STUDIES (Id: C-56515),9,10,,1,,,1,,,,,,,0
"Gyanodaya Sanskrit Mahavidyalaya, Kamlasagar, Maryadpur (Id: C-20256)",4,1,,,,,1,,,,,,,
Gyanodaya shikshan Pracharak Samiti Gyanodaya B.Ed. College Survey No.160 4 Post J.K. Gram Savarkar Nagar Dist-Thane  400 606 (Id: C-33680),2,5,,1,,,,3,,,,,,
Gyanodaya Shikshan Pracharak Samiti Lokmanya Nagar  Pada No.4 Pokharan Road No.1 Thane  400 606 (Id: C-34179),2,4,,,,,,1,,,,,,
"Gyanoday Education College, Janjgir (Id: C-22379)",10,3,1,,,,3,1,,,,,,
"Gyanoday Institute of Mangt & Technology, Kanawati, Neemuch (Id: C-31749)",7,5,,,,,4,2,,,,,,
"Gyanoday Institute of Nursing Kanavati, Neemuch (Id: C-31692)",11,8,2,1,,,4,6,,,1,,,1
"Gyanodya B.Ed. College, MIG Colony, Indore (Id: C-29655)",9,8,,,,,6,1,,,1,,,1
"GYANODYA COLLEGE, BISSAU (Id: C-51731)",12,1,,,3,,5,1,,,3,,,
"Gyanodya Inst. of Management, Behind Little Flower School, Sadar, Betul (Id: C-35131)",2,9,,2,,,1,5,,,,,,
"Gyanodya Mahavidhyalaya, Bhensdehi, Betul (Id: C-35345)",2,4,,,,,2,3,,,,,,
"Gyanodyaya Institute of Professional Studies,    Gram Kanwati Tehsil-District Neemuch (M.P.) (Id: C-35997)",7,2,,,,,5,2,,,1,,,
Gyanpeeth Degree College (Id: C-17312),22,5,2,1,4,2,5,,,,1,,1,
GYAN PRAKASH COLLEGE OF EDUCATION  (Id: C-59122),24,6,2,,1,,10,3,,,2,2,,
Gyan Prakash Swami Vivekanand Teachers Training B.Ed. College (Id: C-56065),20,7,1,,,,10,3,2,,1,,,
"GYAN ROSHNI LOK KALYAN SANSTHA, KHOKHARA (Id: C-48318)",8,16,,1,,,6,7,,,,,,
"Gyan Sagar College of Engineering, Village Seronja, Tehsil & District Sagar (Id: C-35943)",41,20,3,2,,,17,5,,,3,1,4,8
GYAN SAGAR INSTITUTE OF COMPUTER SCIENCE & APPLICATION JABALPUR (Id: C-31579),2,5,,,,,,1,,,,,1,
GYAN SAROVAR COLLEGE (Id: C-55521),3,8,,1,,,3,5,,,,,,
"GYAN SAROVAR MAHAVIDYALAYA, SHANTI NAGAR, MAINPURI (Id: C-47658)",7,7,1,1,,,2,3,,,,,,
"Gyan Shiksha College, Opp. Govt. College, Dhar (Id: C-29734)",12,3,,,,,2,2,,,,,,
"GYAN SHREE COLLEGE OF PROFESSIONAL EDUCATION, BEHSUMA (Id: C-52992)",24,7,6,1,,,6,2,,,1,,,
GYANSHREE COMPUTER ACADEMY (Id: C-59456),2,1,,,,,1,1,,,,,,
"Gyan Sindhu Girls College, Jhunjhunun (Id: C-38975)",4,6,2,1,,,,1,,,,,,
"GYAN STHALI DEGREE COLLEGE, BHARTHANA (Id: C-53551)",33,2,9,,,,13,1,,,,,,
"GYANSTHALI VIDHYPEETH BHOJPUR, HAPUR ROAD, MODINAGAR, GHAZIABAD (Id: C-28732)",2,,,,,,,,,,,,,
Gyan Uday College Of Higher Education (Id: C-62985),3,4,,,,,,2,,,,2,,
"Gyanveer College, Sagar (Id: C-19254)",31,35,3,1,,,4,9,,,2,,1,4
"Gyan Vidhi Mahavidyalya, Bikaner (Id: C-40633)",11,4,1,1,,,6,3,,,1,,,
"GYAN VIGYAN INSTITUTE OF EDUCATION, PAKHAUDANA KHAIR (Id: C-54816)",19,3,3,1,,,6,,,,1,,,
"Gyan Vihar College, Jhunjhunun (Id: C-38391)",14,9,1,,,,12,6,1,,1,,,1
GYANYOG SHIKSHA SANSTHAN AATA JALAUN (Id: C-57933),23,1,2,,,,5,,,,1,,,
"Gyatri Devi Degree College, Pathara, Badango, Gorakhpur (Id: C-14379)",7,1,,,,,3,,,,,,,
"GYATRI MAHAVIDYALAYA MUDI JAHAGIRPURI KHANDHAVLI, AGRA (Id: C-15230)",13,3,2,,,,7,2,,,1,,,
"GYAYAK COLLEGE, RATAN HOUSE, GAMATHWADA ROAD, SAGWARA (Id: C-39980)",11,5,,,,,5,2,,,,,2,1
Gyayak Sanskrit UG & TT college (Id: C-39288),6,7,,,,,2,1,,,,,1,2
"Gynodaya Mahavidyalaya, Jaisinagar (Id: C-19121)",31,29,2,3,,,10,8,,,1,2,,3
Habiab Educational & Welfare Societys Late Khatija College of Education at Deoghar Post Khanivali Tal Wada Dist Thane (Id: C-34186),3,4,,,,,2,2,,,,,1,
"Habib Educational and Welfare Societys M S College of Arts, Commerce, Science and BMS  (Id: C-56854)",4,6,,,,,1,,,,1,1,,
"HABIB EDUCATIONAL AND WELFARE SOCIETYs MS COLLEGE OF LAW, THANE (Id: C-45234)",6,3,1,,,,,,,,1,,1,
"Habib Educational & Welfare Society's M.S. College of Arts,Commerce,Science and B M S Mumbra  Dist Thane. (Id: C-33793)",22,21,,,,,1,,,,7,12,3,1
"Habib Educational & Welfare Society?s M.S.College of Pharmacy, Survey No. 120, Devghar, Taluka Wada, Dist. -Palghar-401404 (Id: C-61660)",8,,1,,1,,1,,,,1,,,
Habib Esmail Education Trusts Habib College of Commerce  Dongri  Mumbai 400 009 (Id: C-33855),1,6,,,,,,,,,1,5,,1
"HABIBI INSTITUTE OF HIGHER EDUCATION, DINGERPUR, GURER, BILARI (MORADABAD) (Id: C-49771)",13,6,2,,,,2,1,,,3,1,,
Habibpur Teachers Training College D El Ed (Id: C-63219),3,,,,,,,,,,,,,
Habraghat Mahavidyalaya (Id: C-17354),22,4,,,,2,2,,,,16,1,,
H. A. College of Commerce (Id: C-5901),8,8,1,,2,,1,,,,,,,1
HADECHHA LACHHIMUDDIN BEd COLLEGE (Id: C-48642),13,8,1,1,1,,2,2,,,4,2,,
"HADI RANI TEACHERS TRAINING COLLEGE, SHOBHAGPURA (Id: C-40020)",,13,,1,,,,4,,,,,,1
"HADIYA BABA POST GRADUATE COLLEGE, KASHAAI (Id: C-49920)",23,6,5,1,,,6,2,,,,,,
HAFIZ RAHMAT KHAN DEGREE COLLEGE CHANDOI PILIBHIT (Id: C-61371),12,3,2,1,,,4,,,,5,2,,
HAFIZ RAHMAT KHAN DEGREE COLLEGE SARAINI TURKUNIYA (Id: C-61372),8,7,2,,,,6,4,,,,3,,
Hafiz Rahmat Khan Law Degree College (Id: C-13350),9,2,1,,,,7,1,,,6,1,,
Haflong Govt College (Id: C-26414),30,28,1,4,8,16,3,3,,,5,,,9
"Haidiyakhandi Sanskrit Mahavidyalaya, Kayavarohan (Id: C-1121)",5,,,,,,,,,,,,,
"Hailee College of Education, Kalyandurg (Id: C-30942)",5,3,,,1,,3,2,,,1,,,
"Haindavi College of Education, Dharmavaram (Id: C-30999)",4,4,1,2,1,,2,2,,,,,,
Haindavi Degree College (Id: C-25534),12,4,,,,,8,2,,,3,,,
HAINDAVI DEGREE COLLEGE (CHAMAPET) (Id: C-48817),7,5,,,,,5,1,,,2,2,,
HAINDAVI DEGREE COLLEGE (KAPRA) (Id: C-48866),1,9,,,,,,1,,,,1,,1
Haindavi Degree College (Mehdipatnam) (Id: C-55285),4,6,,,,,2,4,,,1,3,,
HAINDAVI DEGREE COLLEGE (S R NAGAR) (Id: C-49893),2,8,,1,,1,1,,,,1,1,,
Haindavi Degree & PG College (Id: C-26145),11,4,,,,,5,3,,,2,,,
"Haindavi PG College, Dharmavaram (Id: C-30983)",5,2,1,,,,2,,,,,,,
